accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	timepoint	treatment
SAMN11037887	11037887	MOLM13_RNA_EPZ5676_1uM_d7_REP3_180927_TAGGCT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421604	GSM3635649	MOLM13		MOLM13 cultured cells	7 days	1uM EPZ5676
SAMN11037888	11037888	RS411_RNA_VTP50469_330nM_d2_REP3_180927_GCATGG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421610	GSM3635655	RS411		RS411 cultured cells	2 days	330nM VTP50469
SAMN11037889	11037889	RS411_RNA_VTP50469_330nM_d2_REP2_180927_CAACAG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421609	GSM3635654	RS411		RS411 cultured cells	2 days	330nM VTP50469
SAMN11037890	11037890	RS411_RNA_VTP50469_330nM_d2_REP1_180927_ACCTAC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421608	GSM3635653	RS411		RS411 cultured cells	2 days	330nM VTP50469
SAMN11037891	11037891	RS411_RNA_DMSO_d2_REP3_180927_CACACT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421607	GSM3635652	RS411		RS411 cultured cells	2 days	DMSO
SAMN11037892	11037892	RS411_RNA_DMSO_d2_REP2_180927_GGCTGC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421606	GSM3635651	RS411		RS411 cultured cells	2 days	DMSO
SAMN11037893	11037893	RS411_RNA_DMSO_d2_REP1_180927_CTAGTC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421605	GSM3635650	RS411		RS411 cultured cells	2 days	DMSO
SAMN11037894	11037894	MOLM13_RNA_EPZ5676_1uM_d7_REP2_180927_TGGCGA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421603	GSM3635648	MOLM13		MOLM13 cultured cells	7 days	1uM EPZ5676
SAMN11037895	11037895	MOLM13_RNA_EPZ5676_1uM_d7_REP1_180927_GCGAAT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421602	GSM3635647	MOLM13		MOLM13 cultured cells	7 days	1uM EPZ5676
SAMN11037896	11037896	MOLM13_RNA_VTP50469_330nM_d7_REP3_180927_GAGTCC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421601	GSM3635646	MOLM13		MOLM13 cultured cells	7 days	330nM VTP50469
SAMN11037897	11037897	MOLM13_RNA_VTP50469_330nM_d7_REP2_180927_CCTAAG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421600	GSM3635645	MOLM13		MOLM13 cultured cells	7 days	330nM VTP50469
SAMN11037898	11037898	MOLM13_RNA_VTP50469_330nM_d7_REP1_180927_ACATTA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421599	GSM3635644	MOLM13		MOLM13 cultured cells	7 days	330nM VTP50469
SAMN11037899	11037899	MOLM13_RNA_DMSO_d7_REP3_180927_GAACCT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421598	GSM3635643	MOLM13		MOLM13 cultured cells	7 days	DMSO
SAMN11037900	11037900	MOLM13_RNA_DMSO_d7_REP2_180927_AAGTGG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421597	GSM3635642	MOLM13		MOLM13 cultured cells	7 days	DMSO
SAMN11037901	11037901	MOLM13_RNA_VTP50469_330nM_d2_REP3_180927_ACAGAT	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421592	GSM3635637	MOLM13		MOLM13 cultured cells	2 days	330nM VTP50469
SAMN11037902	11037902	MOLM13_RNA_VTP50469_330nM_d2_REP2_180927_CGCAAC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421591	GSM3635636	MOLM13		MOLM13 cultured cells	2 days	330nM VTP50469
SAMN11037903	11037903	MOLM13_RNA_VTP50469_330nM_d2_REP1_180927_GCTCGA	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421590	GSM3635635	MOLM13		MOLM13 cultured cells	2 days	330nM VTP50469
SAMN11037904	11037904	MOLM13_RNA_DMSO_d2_REP3_180927_TATGTC	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421589	GSM3635634	MOLM13		MOLM13 cultured cells	2 days	DMSO
SAMN11037905	11037905	MOLM13_RNA_DMSO_d7_REP1_180927_ATGGCG	Scott Armstrong/CPCT, Pediatric Oncology, Dana-Farber Cancer Institute	9606	SRS4421596	GSM3635641	MOLM13		MOLM13 cultured cells	7 days	DMSO
