accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	treatment
SAMN02796602	2796602	siGLI1_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616834	GSM1395392	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 DMSO
SAMN02796603	2796603	siPSDM13_DMSO_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616824	GSM1395382	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSDM13 DMSO
SAMN02796604	2796604	mock_DMSO_4hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616827	GSM1395385	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock DMSO
SAMN02796605	2796605	siGLI1_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616836	GSM1395394	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 vorinostat
SAMN02796606	2796606	mock_vorinostat_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616832	GSM1395390	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat
SAMN02796607	2796607	mock_DMSO_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616829	GSM1395387	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock DMSO
SAMN02796608	2796608	siPSMD13_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616839	GSM1395397	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 vorinostat
SAMN02796609	2796609	mock_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616831	GSM1395389	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock vorinostat
SAMN02796610	2796610	siPSDM13_DMSO_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616838	GSM1395396	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSDM13 DMSO
SAMN02796611	2796611	siPSMD13_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616837	GSM1395395	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 DMSO
SAMN02796612	2796612	mock_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616828	GSM1395386	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock DMSO
SAMN02796613	2796613	siPSMD13_vorinostat_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616840	GSM1395398	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSMD13 vorinostat
