accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN12741574	12741574	501mel_siCTR_1_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382278	GSM4078115	501mel	melanoma cell line	501mel_siCTR_1_t48h	20nM siCTRL 48h
SAMN12741576	12741576	501mel_SCDi_A93_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382277	GSM4078114	501mel	melanoma cell line	501mel_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741577	12741577	501mel_SCDi_A93_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382276	GSM4078113	501mel	melanoma cell line	501mel_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741578	12741578	501mel_SCDi_A93_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382275	GSM4078112	501mel	melanoma cell line	501mel_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741579	12741579	IGR37_SCDi_A93_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382295	GSM4078132	IGR37	melanoma cell line	IGR37_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741580	12741580	IGR37_SCDi_A93_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382294	GSM4078131	IGR37	melanoma cell line	IGR37_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741581	12741581	IGR37_SCDi_A93_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382293	GSM4078130	IGR37	melanoma cell line	IGR37_SCDi_A93_t48h	1 uM A939372 for 48h
SAMN12741583	12741583	IGR37_DMSO_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382292	GSM4078129	IGR37	melanoma cell line	IGR37_DMSO_t48h	DMSO
SAMN12741584	12741584	IGR37_DMSO_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382291	GSM4078128	IGR37	melanoma cell line	IGR37_DMSO_t48h	DMSO
SAMN12741603	12741603	501mel_DMSO_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382274	GSM4078111	501mel	melanoma cell line	501mel_DMSO_t48h	DMSO
SAMN12741604	12741604	501mel_DMSO_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382273	GSM4078110	501mel	melanoma cell line	501mel_DMSO_t48h	DMSO
SAMN12741605	12741605	501mel_DMSO_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382272	GSM4078109	501mel	melanoma cell line	501mel_DMSO_t48h	DMSO
