accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	tumor type
SAMN10830574	10830574	48h_2mg_N_Tri3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298733	GSM3581394	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830575	10830575	48h_2mg_N_Tri2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298732	GSM3581393	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830576	10830576	48h_2mg_N_Tri1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298731	GSM3581392	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer
SAMN10830577	10830577	48h_2mg_N_Omt3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298730	GSM3581391	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer
SAMN10830578	10830578	48h_2mg_N_Omt2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298729	GSM3581390	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer
SAMN10830579	10830579	48h_2mg_N_Omt1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298728	GSM3581389	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer
SAMN10830580	10830580	48h_2mg_N_Nme3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298727	GSM3581388	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer
SAMN10830581	10830581	48h_2mg_N_Nme2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298726	GSM3581387	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer
SAMN10830582	10830582	48h_2mg_N_Nme1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298725	GSM3581386	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer
SAMN10830583	10830583	48h_2mg_N_Mac3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298724	GSM3581385	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer
SAMN10830584	10830584	48h_2mg_N_Mac2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298723	GSM3581384	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer
SAMN10830585	10830585	48h_2mg_N_Mac1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298722	GSM3581383	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer
SAMN10830586	10830586	48h_2mg_CKI3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298721	GSM3581382	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830587	10830587	48h_2mg_CKI2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298720	GSM3581381	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830588	10830588	48h_2mg_CKI1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298719	GSM3581380	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer
SAMN10830589	10830589	48h_2mg_OO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298712	GSM3581373	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer
SAMN10830590	10830590	48h_2mg_OO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298711	GSM3581372	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer
SAMN10830591	10830591	48h_UT3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298718	GSM3581379	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830592	10830592	48h_UT2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298717	GSM3581378	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830593	10830593	48h_UT1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298716	GSM3581377	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer
SAMN10830594	10830594	48h_2mg_MOO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298715	GSM3581376	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer
