accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN04115212	4115212	Ctrl 1	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090932	GSM1895365	WI38 lung fibroblast cells	WI38 cell line	none (control)
SAMN04115213	4115213	si BRD4 1	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090931	GSM1895366	WI38 lung fibroblast cells	WI38 cell line	RNA interference targeting BRD4 was performed using HiPerFect transfection reagent (Qiagen). Cells were then incubated for 72 hours.
SAMN04115214	4115214	HS 1	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090930	GSM1895367	WI38 lung fibroblast cells	WI38 cell line	To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours
SAMN04115215	4115215	si BRD4 & HS 1	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090929	GSM1895368	WI38 lung fibroblast cells	WI38 cell line	RNA interference targeting BRD4 was performed using HiPerFect transfection reagent (Qiagen). Cells were then incubated for 72 hours. To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours.
SAMN04115216	4115216	HS 2	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090928	GSM1895369	WI38 lung fibroblast cells	WI38 cell line	To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours
SAMN04115217	4115217	si BRD4 & HS 2	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090927	GSM1895370	WI38 lung fibroblast cells	WI38 cell line	RNA interference targeting BRD4 was performed using HiPerFect transfection reagent (Qiagen). Cells were then incubated for 72 hours. To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours.
SAMN04115218	4115218	HS 3	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090926	GSM1895371	WI38 lung fibroblast cells	WI38 cell line	To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours
SAMN04115219	4115219	si BRD4 & HS 3	Schweiger, Lehrach, Max Planck Institute For Molecular Genetics	9606	SRS1090925	GSM1895372	WI38 lung fibroblast cells	WI38 cell line	RNA interference targeting BRD4 was performed using HiPerFect transfection reagent (Qiagen). Cells were then incubated for 72 hours. To induce heat stress, cells were incubated at 42°C in a waterbath for 4 hours.
